Name,Street Address,Type,Reviews,No of Reviews,Comments,Price_Range,State,ZipCode,City,weighted_ratings
Beaches Restaurant & Bar,1919 SE Columbia River Dr," American, Bar, Seafood",4.5,1274,"We had an amazing dining experience at Beaches!  The host staff worked very hard to accommodate a larger group...even with people arriving at slightly different times.   Our waitress, Monica, was a ROCK STAR.   Friendly, knowledgeable, AND efficient.  The perfect trifecta for a waitress.  We were...More",$$ - $$$,WA,98661-8028,Vancouver,5733.0
Houston's Restaurant,One Riverside Square," American, Vegetarian Friendly, Gluten Free Options",4.0,286,We have been going to Houston's on and off for many years and have always found it worth the trip. On this Friday evening we were with friends who often dine there also. The food is a quite good so a bit overpriced. My continuing...More,$$ - $$$,NJ,07601-6358,Hackensack,1144.0
Domingo's Italian Deli,17548 Ventura Blvd," Italian, Vegetarian Friendly, Vegan Options",4.5,8,,Italian,CA,91316-3835,Los Angeles,36.0
Taqueria Don Pepe,4582 N Blackstone Ave," Mexican, Latin, Spanish",4.5,107,,$,CA,93726-1905,Fresno,481.5
Uncle Julio's,20526 Katy Fwy," Mexican, Vegetarian Friendly",4.0,164,"We had lunch here on a Saturday. Everything was fantastic. I had chicken fajitas which were wonderful. Everyone else really enjoyed their meals - it all looked fresh and yummy. The service was terrific, too!",$$ - $$$,TX,77449-7635,Katy,656.0
Cafe Mogador,133 Wythe Ave," Moroccan, Mediterranean, Middle Eastern",4.5,466,"If you are into Moroccan cuisine, Cafe Mogador does not disappoint! Favs include the outrageously delectable falafel...(made me want to never again eat falafel at places I have defaulted to just because I was in the mood for it...) The Chicken Tagine with apricots was...More",$$ - $$$,NY,11249-2809,Brooklyn,2097.0
Ristorante Mamma Gina,73705 El Paseo," Italian, Vegetarian Friendly, Vegan Options",4.5,1037,,$$ - $$$,CA,92260-4328,"Palm Desert, Greater Palm Springs",4666.5
Peck Peck Chicken,250 Degraw Ave," Italian, Vegetarian Friendly, Vegan Options",5.0,36,This little hole in the wall has the best tasting chicken I have ever had in my life. My wife and I tried every flavor from the chicken wings and the entrées and it was just simply delicious. Bravo and we will be back soon.,$,NJ,07666-3206,Teaneck,180.0
Sottocasa Pizzeria,298 Atlantic Ave," Italian, Pizza, Neapolitan",4.5,330,Convenient to F train and has a bus stop at the front door. i especially like the  tables in the greenhouse out back. They also don't mind if you practice your Italian as you order. And did I mention the food is great? Always a...More,$$ - $$$,NY,11201-6763,Brooklyn,1485.0
La Isla Redmond,7430 164th ave NW," Caribbean, Latin, Puerto Rican",4.0,165,"I have eaten at La Isla in the ""old"" location so thought I would try it again. So glad I did, the staff was friendly and helpful wit the menu, the food was very good as was the sangria. I was worried tht the food...More",$$ - $$$,WA,98052-4462,Redmond,660.0
Cafe Modern,3200 Darnell St," American, Cafe, Contemporary",4.5,190,"While the food was above average, the service was the worst I’ve seen in years. David Got drink order wrong, twice.  No spoons with the soup.  Slow to take orders.  First drinks arrived after first course.  Second drink order arrived after dessert even though ordered...More",$$ - $$$,TX,76107-2872,Fort Worth,855.0
Le Vallauris,385 W Tahquitz Canyon Way," French, International, European",4.5,997,,$$$$,CA,92262-5647,"Palm Springs, Greater Palm Springs",4486.5
The Original Blanco Cafe,419 N Saint Marys St," Mexican, Southwestern, Latin",4.5,487,"If you want to dine with the locals, this is the spot. Awarded Best Enchilada for years. Simple, inexpensive.",$,TX,78205-1703,San Antonio,2191.5
Spencer's for Steaks and Chops,322 N Spokane Falls Ct," American, Steakhouse, Bar",4.5,250,"Very efficient business lunch!  Waitress was prompt, efficient and not disruptive or over bearing.  The food was just what you hope it would be.",$$$$,WA,99201-0238,Spokane,1125.0
Gather,2200 Oxford St," American, Pizza, Vegetarian Friendly",4.0,356,,$$ - $$$,CA,94704-1389,Berkeley,1424.0
Tiki Mojito,525 Bayway Ave," Latin, Cuban, Caribbean",4.0,33,This restaurant not only has amazing food and drinks but the prices are very reasonable. The Mojito chicken is fabulous. The lobster bisque (which is a special but wished is was permanently on the menu) was the best I ever had and shocked that the...More,$$ - $$$,NJ,07202-2755,Elizabeth,132.0
Harry's Oyster Bar & Seafood,1900 Pacific Ave," American, Bar, Seafood",4.0,1858,We met a wonderful hostess name Laura. She was very sweet and attentive. From the drinks to the food menu. It was a great first experience at Harrys we will definitely be visiting again. Great food and Drinks. 😍,$$ - $$$,NJ,08401-6714,Atlantic City,7432.0
Paesano Ristorante Italiano,350 W Julian St," Italian, Vegetarian Friendly",4.5,105,,$$ - $$$,CA,95110-2305,San Jose,472.5
Speisekammer,2424 Lincoln Ave," German, Bar, European",4.5,241,,$$ - $$$,CA,94501-2915,Alameda,1084.5
Cottage Cafe,6902 E Appleway Blvd," American, Diner, Cafe",4.5,267,Had a business meeting for 3 people.  This place is crowded - good sign.  They do not take reservations and they will not put your name on the list until your entire party is present.  Great menu for breakfast - lots of variety.  Good quantity...More,$$ - $$$,WA,99212-0602,Spokane Valley,1201.5
Albany Pump Station CH Evans Brewing Co.,19 Quackenbush Sq," American, Bar, Pub",4.0,918,"Food was excellent in a warm environment, staff was attentive and patient as we were there a long time. Will definitely be going back! Great menu also!",$$ - $$$,NY,12207-2311,Albany,3672.0
Dinosaur Bar-B-Que,700 W 125th St," American, Bar, Barbecue",4.5,1197,"If you love old school BBQ ribs, this is the best place in the city.  It's always delicious.  The food is so good that the place is always full. You'll need a reservation or go early in the day. It's great for large groups.",$$ - $$$,NY,10027-2314,New York City,5386.5
The Beacon Cafe,171 Aviator Drive," American, Cafe, Vegetarian Friendly",4.5,99,"Best kept secret in Fort Worth. Located at Hicks Airport alongside the runway. Private planes pull into the parking lot beside your car. All there for an amazing brunch. A little pricey but definitely an experience. Whatever you do, treat yourself to a pineapple upside...More",$$ - $$$,TX,76179,Fort Worth,445.5
The Arlington,1302 Long Beach Blvd," American, Bar, Vegetarian Friendly",4.0,225,We frequent the Arlington for evening cocktails& often enjoy the bar menu. This was our 1 st time enjoying the brunch menu. What a pleasant surprise!! Brunch was excellent !! Will return!!,$$ - $$$,NJ,08008-4506,"Ship Bottom, Long Beach Island",900.0
Shan Dong Restaurant,328 10th St Ste 101," Chinese, Asian, Vegetarian Friendly",4.5,161,,$,CA,94607-4214,Oakland,724.5
Ruth's Chris Steak House,369 East Colorado Boulevard," American, Steakhouse, Vegetarian Friendly",4.5,173,,$$$$,CA,91101,Pasadena,778.5
Piccola Cucina Estiatorio,75 Thompson St," Italian, Seafood, Mediterranean",4.5,166,"Everything is good. The food, the ambiance, the service and the location. The burrata and the octopus are specially good.",$$ - $$$,NY,10012-4345,New York City,747.0
Urban Crust,1006 E 15th St," Italian, Bar, Pizza",4.5,559,"Excellent service, even though was packed, Pizza is great, flavors are everywhere, good selection of drafts beers, to compliment the Pizza, won’t be disappointed",$$ - $$$,TX,75074-6222,Plano,2515.5
Green Street Restaurant,146 Shoppers Ln," American, Vegetarian Friendly, Gluten Free Options",4.5,479,,$$ - $$$,CA,91101-2618,Pasadena,2155.5
Perry's Steakhouse and Grille - Frisco,2440 Parkwood Blvd," American, Steakhouse, Gluten Free Options",4.5,282,"I hadn't been to Perry's for awhile, so decided to do it for Valentines.  Maybe I've been spoiled with all the Farm to table concepts and fresh, non fried food.  I ordered the Spinach Salad, and it would have been good if it didn't have...More",$$$$,TX,75034-8652,Frisco,1269.0
Tommy Bahama's Restaurant & Bar,9595 Six Pines Dr," American, Bar, International",4.0,648,Beautiful lunch on outside porch. Large restaurant. Easy distance from hotels and shopping. Food excellent and server Robert did a good job. Pleasant atmosphere along Market Square center lawn. Great family area. Wonderful to relax and enjoy a wonderful Sunday lunch.,$$ - $$$,TX,77380-1531,The Woodlands,2592.0
Smile of The Beyond Restaurant,8614 Parsons Blvd," International, American, Vegetarian Friendly",4.5,29,I returned here after a great breakfast ( Mediterranean Omelette) for lunch. I had the San Francisco sandwich. Very tasty and filling . My friends had the vegetarian  chipotle wrap and the vege wrap and were also wrapped! For drinks I had the smoothie and...More,$,NY,11432-3314,Jamaica,130.5
Warehouse 23,100 Columbia St," American, Bar, Vegan Options",4.0,153,I stopped into Warehouse 23 while in the area for business. I was staying across the river on Jantzen Beach and was looking for a new place to eat. I have been to Joe's Crabshack and Salty's a few times and wanted to try something...More,$$ - $$$,WA,98660-3159,Vancouver,612.0
Wild Ginger Bellevue,508 Bellevue Way NE," Asian, Thai, Vegetarian Friendly",4.0,379,I order the 7 Flavor beef with a side of rice and it was delicious. I sat at the bar just before happy hour and the bartender was very friendly but not too talkative.,$$ - $$$,WA,98004-5014,Bellevue,1516.0
Mykonos Greek Restaurant,1650 W Bakerview Rd," Mediterranean, Greek, Vegetarian Friendly",4.0,163,"Three of us had a delicious Sunday lunch. Our Server, Lily M., was perfect.  All three dinners were served hot and tasty. We love this restaurant and visit regularly.",$$ - $$$,WA,98226-9181,Bellingham,652.0
"Rudy's ""Country Store"" and Bar-B-Q",3751 W Interstate 40," American, Barbecue",4.0,159,Good and authentic Texas BBQ. Briskets were moist and tasty. Friendly ambiance. Nothing fancy but a great value!,$$ - $$$,TX,79109,Amarillo,636.0
Cracker Barrel,2323 E Interstate 40," American, Vegetarian Friendly, Vegan Options",4.0,348,"Great breakfast, steak and eggs, my favorite, whether it's there tender thick sirloin or hamburger steak. Not many places frie and egg like these guys,you'll never get this at ihop",$$ - $$$,TX,79104-3403,Amarillo,1392.0
Anthony's Homeport,1722 W Marine View Dr," American, Seafood, Soups",4.5,513,"Good service, but food was just ok. Crab was overcooked and mushy. Dessert wasn’t worth it, it was supposed to be a warm chocolate melted cake. What came out after 30 minutes was a room temperature melted plate of goop. It clearly sat in the...More",$$ - $$$,WA,98201-2087,Everett,2308.5
Anthony's Coal Fired Pizza,264 Main St," Pizza, Italian, Vegetarian Friendly",4.0,109,"The meatballs are amazing, the dry rub wings are delectable! My friend ordered the regular wings with onions on top and they came out cold, They did take care of it. Another friend ordered a pizza and wow! It looked fantastic!",$$ - $$$,NY,10601-2404,White Plains,436.0
Boundary Bay Brewery & Bistro,1107 Railroad Ave," American, Bar, Pub",4.0,757,Enjoyed the big screen! Nice Vibe of benches and tables in a great area. Food truck if you so desire. The dark beer was very good. Recommend if in the area.,$$ - $$$,WA,98225-5007,Bellingham,3028.0
Silverwater Cafe,237 Taylor St," American, Seafood, Vegetarian Friendly",4.0,757,"I read Reviews that made this place come across awesome but it was only good and, really, after the dessert I had it was barely in the “good” category. I’ve never had such poor tasting cherry pie...Even out of a box. the fish n chips...More",$$ - $$$,WA,98368-5766,Port Townsend,3028.0
Sapori,324 Central Ave," Italian, Vegetarian Friendly, Gluten Free Options",4.5,105,"Finally a place that is a culinary delight, with attentive service and fair prices. How do they do it????!!!! This is the go to place for family events, special dates, or just to enjoy a great meal....with surprisingly remarkable desserts!",$$ - $$$,NY,10606-1210,White Plains,472.5
Union Cafe,1725 Union St," American, Cafe, Greek",4.5,100,"Visit was in mid December. Food was very good as was the service, however, the owner? picked up her dog and walked around to every table to introduce her pet. Unfortunately, both myself and my dining companion are very allergic to dogs and we both...More",$$ - $$$,NY,12309-6221,Schenectady,450.0
The Capital Grille,800 Main St," American, Steakhouse, Vegetarian Friendly",4.5,692,"Deciding to skip the throngs that go out for dinner on Valentine's day we decided to do lunch instead. During the day we din't expect anything more than avoiding crowds but we were once again pleasantly surprised,
We were lead to a quiet room in...More",$$$$,TX,76102-6247,Fort Worth,3114.0
Red Lobster,5315 San Dario Ave," Seafood, Soups",4.5,44,We were in town to go to a concert and decided to eat at Red Lobster for lunch. We had the all you can eat shrimp. If you go to Red Lobster you have to have the Endless Shrimp. It is not all year round...More,$$ - $$$,TX,78041-3043,Laredo,198.0
Bellino Ristorante Italiano and Bottega,3815 S Alameda St," Italian, Bar, Pizza",4.5,155,"Yummy food! Noodles were perfect. Wine was smooth! Services was wonderful! I would recommend this restaurant for business, girl’s night out, intimate evening!",$$ - $$$,TX,78411-1637,Corpus Christi,697.5
Masala Indian Cuisine,3321 W Kennewick Ave Ste 100," Indian, Vegetarian Friendly, Vegan Options",4.5,163,"I arrived hungry on a Saturday night, only to be turned away due to a private party. I asked if they would be open on Sunday, and I was happy to hear they would. I learned later the party was celebrating the 1st birthday of...More",$$ - $$$,WA,99336-2957,Kennewick,733.5
Cupp's Drive Inn,1424 Speight Ave," American, Diner",4.5,69,"Bacon cheese burger basket was fantastic, and the steak finger plate was great.  Limited seating arive early.",$,TX,76706-2048,Waco,310.5
Don Peppe's,13558 Lefferts Blvd," Italian, Vegetarian Friendly",4.5,183,"Yes, thats right.  DP's is THE place for baked clam's. The shrimp Don Pepe is also to die for.  So is the Chicken Don Pepe. The only alcohol is homemade red and white wine, and quite frankly, its VERY good! Not costly, won't get drunk,...More",$$ - $$$,NY,11420-3602,Ozone Park,823.5
Pisticci,125 La Salle St," Italian, Vegetarian Friendly, Vegan Options",4.5,267,This is based on one Friday supper visit. Pisticci is a linen tablecloth sort of place a half block from Broadway close to the Manhattan School of Music. It's bigger than it looks from the sidewalk. I had the spaghetti with prosciutto and spinach; it...More,$$ - $$$,NY,10027-4651,New York City,1201.5
L'Artusi,228 W 10th St," Italian, European, Vegetarian Friendly",4.5,516,This restaurant was my husband's favorite and he can be fussy!  We ordered 4 pasta dishes to share (there were 4 of us) and we loved them all!   Our waitress also recommended a reasonably priced bottle of wine.   It took us forever to get this...More,$$$$,NY,10014-6405,New York City,2322.0
Anthony's Seafood Grill,3000 184th St SW," American, Seafood, Vegetarian Friendly",4.0,241,I was on a solo business trip trying to escape to the beach for a bit and noticed this place on the way in.  I stopped on my way out to eat and the place was packed but they seated me relatively quickly.  The service...More,$$ - $$$,WA,98037-4718,Lynnwood,964.0
Spanky's,9th and University," American, Bar",4.0,264,"Drove by stopped and was pleasantly surprised. The Hamburgers were very good and looks like they have some sandwiches ill try when i come back. The Cheese Sticks were crazy big and very good., This place is worth the time to stop and enjoy",$$ - $$$,TX,TX,Lubbock,1056.0
Over the Moon Cafe,709 Opera Aly," American, Gluten Free Options, Vegan Options",4.5,343,Warm environment with the sweetest handwritten love notes in a box at each table. Delicious meal plus to die for turtle pie dessert that we shared. This is my favorite hidden date nite in Tacoma.,$$ - $$$,WA,98402-3704,Tacoma,1543.5
Blue Plate Taco,1515 Ocean Ave," Mexican, Southwestern, Latin",4.5,1203,,$$ - $$$,CA,90401-2118,Santa Monica,5413.5
Padria,119th Way," Mediterranean, Greek, Middle Eastern",4.5,48,"Got takeout from Padria last night when I had a craving for Mediterranean. I got the shawarma plate and my boyfriend got the lamb gyro plate. The plates come with a good amount of food: rice, pita, tzatziki, and a side salad. The chicken was...More",$$ - $$$,WA,WA,Kirkland,216.0
Good Stuff Restaurant,1286 The Strand," American, Healthy, Vegetarian Friendly",4.5,454,,$$ - $$$,CA,90254-3547,Hermosa Beach,2043.0
Cafeteria 15L,1116 15th St," American, Bar, Vegetarian Friendly",4.0,416,,$$ - $$$,CA,95814-4011,Sacramento,1664.0
The Standard Restaurant & Lounge,1 Crossgates Mall Rd," American, Bar, Contemporary",4.0,360,"Very good food with super service. I would recommend the salads, although our neighbors had wonderful looking cappucinos.",$$ - $$$,NY,12203-5368,Albany,1440.0
Piccola Cucina Osteria,196 Spring St," Italian, Mediterranean, Neapolitan",4.5,2617,"Both the service and food has improved considerably since I last visited Piccola Cucina Osteria in June 2019. The wait staff was friendly, attentive, and helpful, and the food fresh and delicious. Our dinner was an all around excellent experience and it’s easy to see...More",$$ - $$$,NY,10012-3621,New York City,11776.5
Lilly's,169 Mamaroneck Ave," American, Bar, Pub",4.0,92,"I met a friend at Lilly’s after work because she loves the place and raved about it! We were seated immediately near the very full, loud bar with TV’s across the span of the bar. It was a happy atmosphere, but not one where you...More",$$ - $$$,NY,10601-5302,White Plains,368.0
Elk Public House,1931 W Pacific Ave," American, Bar, International",4.0,282,"I enjoyed a great lunch of spicy gumbo and Caesar salad. Attentive service, pleasant surroundings. I look forward to visiting again when I visit.",$$ - $$$,WA,99201-7625,Spokane,1128.0
Amanda's,908 Washington St," American, Vegetarian Friendly, Vegan Options",4.5,332,"Arrived off the daytime flight from London and checked in to the Sheraton for one night.

Made the right choice to go out and find dinner rather than crash face down as the jet lag started to take hold...rather like man flu...

Looked on here...More",$$$$,NJ,07030-5152,Hoboken,1494.0
Rivoli Restaurant,1539 Solano Ave," Vegetarian Friendly, Vegan Options, Gluten Free Options",4.5,338,,$$$$,CA,94707-2119,Berkeley,1521.0
The Modern,9 W 53rd St," Contemporary, American, Vegetarian Friendly",4.5,2071,Kind of embarrassing that a 2 Michelin star chef gave someone with a gluten allergy breadcrumbs.. The first waiter assured me it was gluten free. After I had already eaten some a different waiter took it away and brought me the gluten free version.. The...More,$$$$,NY,10019-5401,New York City,9319.5
Thai Orchid Restaurant - Vancouver,213 W 11th St," Sushi, Asian, Thai",4.5,420,Everything we've had there the last two trips has been excellent.  Chairs are a bit uncomfortable and make a grating noise when moved.  Pads on seat and feet would be welcome.  Parking is difficult to find despite them having a small lot.,$$ - $$$,WA,98660-3105,Vancouver,1890.0
Blossom Vegetarian Restaurant,305 Burnett Ave S," Asian, Vietnamese, Vegetarian Friendly",4.5,69,Amazing food you have to try the ginger vegan ginger fish and the fried seitan is out of this world yummy such nice ambiance as well and very family friendly,$$ - $$$,WA,98057-2502,Renton,310.5
Baladina Mediterranean Restaurant,931 Fischer Blvd," Mediterranean, Turkish, Middle Eastern",5.0,27,"I was very pleased with the atmosphere, the food and the staff. Went with my family for dinner everything was perfect 
Great staff ( thank u Mesho ) amazing food 
I also booked a table for valentines days they have 2 couple for 60$ 😍",$$ - $$$,NJ,08753-3834,Toms River,135.0
John Brown Smokehouse,1043 44th Dr," American, Bar, Barbecue",4.5,396,"Headed here late on my first night staying locally for a quick bite to eat. Got here just after 9pm and unsurprisingly, they’d sold out of pulled pork and burnt ends (my first two choices), but I was more than happy to sample the brisket...More",$$ - $$$,NY,11101-7037,Long Island City,1782.0
Grays,301 W 6th St," American, Contemporary, Vegetarian Friendly",4.0,187,Looking for an elegant and quiet breakfast?  This is how we found Grays.  Across for a beautiful park in downtown Vancouver we were very comfortable and enjoyed the food.,$$ - $$$,WA,98660-3109,Vancouver,748.0
Kirala,2100 Ward St," Japanese, Sushi, Asian",4.5,158,,$$ - $$$,CA,94705-1016,Berkeley,711.0
Gardner's Restaurant,111 Thurston Ave NW," Steakhouse, American, Seafood",4.5,334,"Awesome food and service, we loved it... Prawns and try cod dinners were great and the dessert options are amazing...👍👍",$$$$,WA,98501-1043,Olympia,1503.0
Texas de Brazil,22 Celebration Dr," Steakhouse, Brazilian, Vegetarian Friendly",4.5,128,This is a Churrascaria (Brazilian Steakhouse). We have been here (this location and others) before and the food and service have always been outstanding. I have been to churrascaria in Brazil and Texas de Brazil is as good as any I have been to in...More,$$$$,NY,14620-2664,Rochester,576.0
Krug's Tavern,118 Wilson Ave," American, Bar, Pub",4.5,135,"Arrogant of me to say that, huh?
So, it's true, I haven't tried EVERY cheeseburger in the world, but now that Poag Mahone's in Chicago seems to have closed, I don't have to think twice about where to find the best one in the country....More",$,NJ,07105-3325,Newark,607.5
Jacob Restaurant Soul Food & Salad Bar,2695 Frederick Douglass Blvd," American, Vegan Options, Vegetarian Friendly",4.5,185,"To whom it may concern,

 This was the first time I purchased  a meal from Jacobs on 129 & Lennox Avenue NYC location and was completely suprised the meal was totally under par for Jacobs😟 The Lima beans were not fully cooked and the smoked...More",$,NY,10030-1206,New York City,832.5
Essie's Restaurant,14 Mount Carmel Pl," American, International, Vegetarian Friendly",4.5,64,A small restaurant in Poughkeepsie. I was there for brunch with my family where I ordered various types of food. I can’t really talk about the dinner options but the brunch was so so. Nothing really special with fairly inexperienced wait staff. Average food quality...More,$$ - $$$,NY,12601-1759,Poughkeepsie,288.0
Fiore Deli of Hoboken,414 Adams St," Italian, Deli",5.0,158,"Special road trip just to eat here and they certainly lived up to all the hype. Mozzarella was none other than amazing. Guys behind the counter were fun, friendly and certainly made us feel welcome from our of town. Loved the food. Be sure to...More",$,NJ,07030-2693,Hoboken,790.0
Gianna's,1034 N Broadway," Italian, Pizza, Vegetarian Friendly",4.0,258,"Today we had a luncheon after my mom's funeral.  Obviously we were  not in a great mood last week when we made the arrangements for >40 people but they made it very easy and told us not to worry, but they will make sure everything...More",$$ - $$$,NY,10701-1328,Yonkers,1032.0
The Walrus and the Carpenter,4743 Ballard Ave NW," American, Seafood, Gluten Free Options",4.5,496,We showed up at just after 4:30 on a Saturday and were not sure if we would get seated anytime soon. Luckily we immediately got a seat at the oyster bar. This was just pre-dinner oysters. They were all delicious ( we got a dozen)....More,$$ - $$$,WA,98107-4844,Seattle,2232.0
Safari Room Fresh Grill and Bar,111 S Post St," American, Bar, Vegetarian Friendly",4.5,334,"This bustling spot has very good good with quasi comfortable seating (unless you are among the chosen few to grab a booth).
I highly recommend to spicy shrimp flatbread.  The wine choices are pleasing too.",$$ - $$$,WA,99201-6021,Spokane,1503.0
Spencer's Restaurant,701 W Baristo Rd," American, Vegetarian Friendly, Vegan Options",4.5,2126,,$$$$,CA,92262-6325,"Palm Springs, Greater Palm Springs",9567.0
Parkway Grill,510 S Arroyo Pkwy," American, Contemporary, Vegetarian Friendly",4.5,334,,$$$$,CA,91105-2520,Pasadena,1503.0
Ruth's Chris Steak House,565 Bellevue Square," American, Steakhouse, Vegetarian Friendly",4.0,270,"This place does not offer a particularly great view, does not offer booth seating or even for the faint of heart where there price point is concerned. What you will find here is fine dining at its best from our waiter Kevin who was one...More",$$$$,WA,98004-5031,Bellevue,1080.0
SUGARFISH by sushi nozawa,1345 2nd St," Japanese, Seafood, Sushi",4.5,505,,$$ - $$$,CA,90401-1102,Santa Monica,2272.5
The Cheesecake Factory,3525 Tyler St," American, Vegetarian Friendly, Vegan Options",4.0,102,,$$ - $$$,CA,92503-4136,Riverside,408.0
Fuddruckers,711 W Hillside Rd," American, Fast Food",4.0,31,"Great taste, generous servings and reasonable price.  No other burger in town tastes quite like this.  You'll keep coming back.",$$ - $$$,TX,78041-6902,Laredo,124.0
San Matteo Pizza Espresso Bar,1739 2nd Ave," Italian, Pizza, Vegetarian Friendly",4.5,370,"I love San Matteo. We've eaten there maybe 4 times now and taken friends. The thin crust Italian based pizza reminds us of Franco Manca (for the Brits reading this). Delicious and slightly charcoalled in places.
The ravioli with vodka sauce is a must try,...More",$$ - $$$,NY,10128-3502,New York City,1665.0
The Birch Door,4192 Meridian St," American, Cafe, Vegetarian Friendly",4.5,127,This is one of our favorite places to have a nice leisurely breakfast.  The portions are plentiful and most times we skip having lunch.  Highly recommend.,$$ - $$$,WA,98226-5515,Bellingham,571.5
Dai-Kichi,608 Valley Rd," Japanese, Sushi, Asian",4.5,65,Very fresh sushi with huge selection !  Definitely would like to return !  Portions generous.  Cannot comment on price because I was treated by my friend.  Parking on the street.,$$ - $$$,NJ,07043-1420,Montclair,292.5
Mulino's of Westchester,99 Court St," Italian, Vegetarian Friendly, Vegan Options",4.5,290,"This restaurant is one of a kind in Westchester. It offers the best of Italian hospitality. Valet parking, beautiful doors to the entrance, gracious coat check, classy bar, and a warm welcome. The decor and ambiance are second to none in Westchester. Nice layout, warm...More",$$$$,NY,10601-4220,White Plains,1305.0
Robard's Steakhouse,2301 N Millbend Dr," American, Steakhouse, Gluten Free Options",4.5,194,"My wife and I have absolutely loved every aspect of this restaurant for the past 4 years.  Without a doubt, our first visit here was the standard by which I judge all of our high class dining experiences.  And our first and second visits here...More",$$$$,TX,77380-1360,The Woodlands,873.0
Aspen Creek Grill,3012 West Loop 289," American, Bar, Vegetarian Friendly",4.0,123,"I love good seafood, but in Lubbock , Texas ? Yep , that's why I go, it's excellent. Wait staff is friendly and knowledgeable. I sat in the bar area at a high table and completely enjoyed myself. Plenty of TV's with sports on, but...More",$$ - $$$,TX,79407,Lubbock,492.0
SottoCasa Pizzeria,227 Lenox Ave," Pizza, Neapolitan, Campania",4.5,406,"This is my second time here. I didn’t think it could get better but it did:) first time I ate pizza with blue cheese, which usually takes over all other tastes. In this case however, it was PERFECTION. This time however I ate the Special...More",$$ - $$$,NY,10027-6542,New York City,1827.0
Anthony's Homeport,1722 W Marine View Dr," American, Seafood, Soups",4.5,513,"Good service, but food was just ok. Crab was overcooked and mushy. Dessert wasn’t worth it, it was supposed to be a warm chocolate melted cake. What came out after 30 minutes was a room temperature melted plate of goop. It clearly sat in the...More",$$ - $$$,WA,98201-2087,Everett,2308.5
Modern Malt,325 S Clinton St," American, Diner, Gastropub",4.0,215,"Recently here for an early breakfast on at Saturday morning.  We got there just after they opened.  We took a big table at the window.  The service was great.  The coffee was perfect, and the menu had plenty of options.  I had an Eggs Benedict...More",$$ - $$$,NY,13202-1219,Syracuse,860.0
Pioneer Restaurant,306 109th St," American, Cafe, Diner",4.5,127,"Wow! It was Sunday morning and very busy, people were waiting, but the staff were really efficient at clearing tables and seating people. Good menu with a big variety. The portions are HUGE. The biscuits are light and fluffy. We couldn’t finish our food and...More",$,TX,76011-6862,Arlington,571.5
Le Bernardin,155 W 51st St," French, Vegetarian Friendly, Gluten Free Options",4.5,3444,"Had the Valentine’s tasting menu and the overall experience was amazing but not flawless.

Made reservation at 2:00. Got there ~1:55 and we have to stand awkwardly for ~20 min in a tiny space next to a bar watching other guests eating in the bar...More",$$$$,NY,10019-6019,New York City,15498.0
Eddie F's Eatery,119 Clinton St," American, Seafood",4.5,80,"Being from Minnesota, we never pass up an opportunity to enjoy at least a couple visits for the seafood. The atmosphere is “the butter on the lobster “. 🤗",$$ - $$$,NY,12866-1303,Saratoga Springs,360.0
Waterstreet Cafe and Bar,610 Water St SW," American, Contemporary, Vegetarian Friendly",4.0,138,My wife and I had lunch here yesterday and we were both very pleased. Warm and cozy atmosphere and the food was very good. I had the lunch burger with great cheddar cheese and my wife had a really delicious salad with grilled chicken. A...More,$$ - $$$,WA,98501-1025,Olympia,552.0
Denino's Pizzeria & Tavern,524 Port Richmond Ave," Italian, Pizza, Vegetarian Friendly",4.5,805,"Good pizza great wings and fried calamari 
They use semolina and it always burns on the bottom of the pizza but otherwise a pretty good pie",$$ - $$$,NY,10302-1721,Staten Island,3622.5
Sugar Shack Cafe,213 1/2 Main St," American, Cafe, Vegetarian Friendly",4.5,1021,,$,CA,92648-5127,Huntington Beach,4594.5
Famous Burger & Teriyaki Sandwich,401 W Lincoln Ave," Asian, Vegetarian Friendly",4.5,53,"I really like this place.   Excellent food.   Especially  the Pho,  the teriyaki, and the giant sized yakisoba.,",$,WA,98902-2657,Yakima,238.5
El Rancho Inn-Steak & Lobster,1457 E Mariposa Rd," American, Steakhouse, Seafood",4.5,56,,$$$$,CA,95205-7727,Stockton,252.0
Spring Creek Barbeque,270 N Central Expy," American, Barbecue",4.0,249,Spring Creek is a non-assuming place where the food is what’s important. Generous portions together with a plethora of side dishes make this the perfect place to enjoy Texas BBQ. Try the brisket and ask for the burnt end pieces - heaven.,$$ - $$$,TX,75080-5305,Richardson,996.0
Savor,28 Old Falls St," American, Vegetarian Friendly, Vegan Options",4.5,337,"They seem to drop the salt shaker in the soup and if you decline soup or try to substitute it, they ignore you and give you soup anyway.
Their root vegetable salad is very good though.
Be careful eating there if you have food allergies.",$$ - $$$,NY,14303-1280,Niagara Falls,1516.5
Texas Roadhouse,4810 S Loop 289," American, Steakhouse, Gluten Free Options",4.0,198,"Thought I'd try the salmon. It was not terrible, just over-seasoned. I think they must season their fish like they do their steak. Otherwise, still one of the few places in Lubbock that continues to have good food at a good price.",$$ - $$$,TX,79414-4798,Lubbock,792.0
Pizza Rock,1020 K St," Pizza, Italian, Vegetarian Friendly",4.0,213,,$$ - $$$,CA,95814-3804,Sacramento,852.0
